STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement Flag,Quality Flag
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490402 04:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490402 05:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490402 07:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490402 08:00,99999,a, 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490402 13:00,3,A, 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490402 19:00,99999,a, 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490403 11:00,8,A, 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490409 11:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490409 12:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490409 13:00,2, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490409 14:00,10, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490409 15:00,2, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490410 07:00,2, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490410 08:00,2, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490410 09:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490410 10:00,4, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490410 11:00,2, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490410 12:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490410 13:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490419 07:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490419 08:00,4, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490419 09:00,2, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490419 12:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490419 13:00,7, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490419 14:00,4, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490419 15:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490419 17:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490419 18:00,4, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490419 19:00,6, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490419 20:00,5, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490420 00:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490420 03:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490420 05:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490420 08:00,2, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490425 21:00,19, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490426 14:00,11, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490426 15:00,19, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490426 16:00,14, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490430 04:00,7, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490430 05:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490430 07:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490430 08:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490501 01:00,0,g, 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490505 20:00,6, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490505 21:00,3, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490505 22:00,19, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490505 23:00,18, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490506 00:00,3, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490506 02:00,6, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490506 03:00,12, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490506 04:00,11, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490506 05:00,2, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490506 22:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490507 00:00,5, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490507 01:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490507 02:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490507 03:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490507 04:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490507 05:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490507 08:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490507 13:00,5, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490507 14:00,5, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490507 15:00,10, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490507 16:00,8, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490507 18:00,4, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490507 19:00,7, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490513 16:00,9, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490513 17:00,32, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490513 18:00,14, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490513 19:00,3, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490515 17:00,2, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490515 18:00,2, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490515 19:00,3, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490519 00:00,53, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490519 01:00,6, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490519 03:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490524 14:00,4, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490527 22:00,56, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490527 23:00,8, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490528 00:00,2, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490528 01:00,2, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490528 03:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490528 04:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490528 08:00,3, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490528 15:00,36, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490528 16:00,37, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490528 17:00,4, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490528 18:00,23, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490528 19:00,7, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490528 20:00,4, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490528 21:00,6, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490528 22:00,2, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490528 23:00,2, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490529 00:00,3, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490601 01:00,0,g, 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490603 05:00,15, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490603 06:00,15, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490603 07:00,3, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490603 08:00,4, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490603 16:00,13, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490603 17:00,10, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490603 23:00,6, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490604 00:00,14, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490604 01:00,5, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490604 02:00,6, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490604 04:00,3, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490604 05:00,14, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490604 06:00,18, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490604 07:00,5, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490604 08:00,10, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490604 09:00,13, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490604 10:00,5, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490604 11:00,15, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490604 12:00,3, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490604 17:00,17, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490604 18:00,53, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490604 19:00,100, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490604 20:00,40, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490604 21:00,25, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490604 22:00,35, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490604 23:00,24, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490605 00:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490605 01:00,2, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490608 16:00,53, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490608 17:00,74, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490612 17:00,2, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490612 18:00,16, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490612 19:00,5, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490612 20:00,2, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490613 21:00,3, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490613 22:00,10, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490613 23:00,18, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490623 11:00,5, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490624 09:00,3, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490624 11:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490701 01:00,0,g, 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490706 22:00,64, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490706 23:00,29, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490707 00:00,17, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490707 01:00,23, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490707 02:00,23, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490707 03:00,5, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490707 05:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490707 06:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490707 07:00,3, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490708 14:00,5, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490711 17:00,13, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490711 18:00,3, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490712 00:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490712 01:00,2, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490712 02:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490714 20:00,26, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490714 21:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490716 23:00,46, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490717 08:00,4, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490717 18:00,5, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490719 21:00,6, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490725 15:00,15, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490725 18:00,2, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490725 19:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490725 20:00,17, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490725 23:00,2, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490731 17:00,50, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490731 18:00,5, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490801 01:00,0,g, 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490803 11:00,2, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490803 12:00,15, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490803 13:00,3, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490813 19:00,5, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490813 20:00,5, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490814 18:00,3, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490814 19:00,5, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490817 21:00,10, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490817 22:00,2, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490817 23:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490825 19:00,45, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490825 20:00,10, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490825 21:00,16, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490827 20:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490827 22:00,2, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490828 01:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490828 02:00,3, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490828 04:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490828 05:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490831 05:00,48, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490831 06:00,2, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490901 01:00,0,g, 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490902 20:00,84, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490902 21:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490903 00:00,35, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490903 01:00,2, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490903 02:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490907 14:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490907 15:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490907 17:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490907 23:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490908 00:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490908 18:00,3, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490930 15:00,2, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490930 16:00,2, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490930 17:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490930 19:00,8, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490930 20:00,4, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490930 21:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19491001 01:00,0,g, 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19491009 11:00,3, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19491009 12:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19491009 14:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19491009 15:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19491009 16:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19491009 18:00,41, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19491009 20:00,4, , 
